reviewId,reviewTitle,reviewDetail,reviewee,noOfStars,reviewDate,reviewerType,images,product_id
437318009,Great Purchase,"Its Awesome, Very Lightweight doesnt leave maks on nose and feels comfortable, Lenskart should work on box designs",Avishak B.,5,2023-01-31T11:43:22Z,verified_reviewer,[],216521
435384683,Lenskart,Glasses are light in weight Eyeglasses are fit and comfortable for the eyes I had a good experience with spectacle Thank you very much,siva D.,5,2023-01-29T12:17:14Z,verified_reviewer,[],216521
435218581,Good,"Frames are pretty comfortable, awesome but lenses when I tested at the center was giving perfect vision and now on the first day of wearing them and seeing from a far distance I am having some blurry issues, hope it will adjust",KARANVEER ,4,2023-01-28T16:32:04Z,anonymous_user,[],216521
435109598,Medium size not available,"The size suited to my face is medium which is not available, could your team confirm on the availability",Neha S.,3,2023-01-28T05:25:47Z,anonymous_user,[],216521
435099449,very nice quality,Its soo light weight that you cant feel the weight of the spects while wearing it,Chetan K.,5,2023-01-28T04:22:50Z,anonymous_user,[],216521
434852818,great color fantastic model,"excellent product, light weight, fit and comfortable, awesome experience thank you so much",Ishak M.,5,2023-01-27T12:22:33Z,verified_reviewer,[],216521
434773667,lenskart,"Its good, lightweight and the material is also good",Anmol ,4,2023-01-27T08:48:52Z,verified_reviewer,[],216521
434323473,wrong size,"i ordered medium size,but got wide one",Ranjith c.,3,2023-01-25T03:51:19Z,verified_reviewer,[],216521
434026407,very comfortable,glasses are very comfortable to use,Anukrupa K.,5,2023-01-24T08:17:23Z,anonymous_user,[],216521
433866730,Quality,Good Quality Product,MR G.,5,2023-01-24T04:36:37Z,verified_reviewer,[],216521
433859033,Very cool,Thank you Lenskart,afjalur r.,5,2023-01-24T03:50:15Z,anonymous_user,[],216521
433726798,high quality 🤗very Happy with this,very comfortable to wear light weight and lenses are clear as water,ananya ,5,2023-01-23T12:59:01Z,verified_reviewer,[],216521
433175445,super,hhh,Namburi R.,5,2023-01-20T09:04:57Z,anonymous_user,[],216521
433138795,Product size,"I have check the product in the store, the material is simply best but the size needs to vary , the product has only one size I need 134mm size plz available it",Debasish P.,5,2023-01-20T04:53:58Z,anonymous_user,[],216521
432926969,review,i love the glasses and the quality it looks amazing on me,Alisha N.,5,2023-01-19T12:19:17Z,anonymous_user,[],216521
432912378,Very good perfect fitting,Nice,Madhav p.,5,2023-01-19T10:27:24Z,anonymous_user,[],216521
432712291,good product 👍,look very classy and marvelous,subodh k.,5,2023-01-18T14:30:10Z,verified_reviewer,[],216521
432702779,love this one,perfect fit and lens,Ashtanu D.,5,2023-01-18T13:47:43Z,anonymous_user,[],216521
