,id,color,size,width,brand_name,brand_name_en,model_name,prices,is_tbyb,tags,is_ditto,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,hashtagList,offerName,qty,subCollection,subCollectionId,isCygnusEnabled,isCashbackApplicable,searchProductName,market_price,lenskart_price,currency_code,frame_size_id,frame_size_name,frame_shape_id,frame_shape_name,brandname_id,brandname_name,frametype_id,frametype_name,occasion,suited_for,inclusiveText,clUsage,tryOnImageUrl,offer_image,isCombo,comboImageUrl,comboDescription
3218,211898,Green,Extra Narrow,129 mm,Lenskart Blu,Lenskart Blu,LB E16222,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 2000}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 2000}]",False,Zero power,False,non_power_reading,0,38,0.0,,"[{'name': 'Extra Narrow', 'id': 24072, 'property': 'frame_size_id'}, {'name': 'Square', 'id': 19404, 'property': 'frame_shape_id'}, {'name': 'Lenskart Blu', 'id': 23025, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",LKBLUCE,971,,,False,False,Green Full Rim Square Eyeglasses,2000,2000,INR,24072,Extra Narrow,19404,Square,23025,Lenskart Blu,11370,Full Rim,,,,,,,,,
3219,211897,Maroon,Medium,134 mm,Lenskart Blu,Lenskart Blu,LB E16219,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 2000}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 2000}]",False,Zero Power,False,non_power_reading,0,42,0.0,,"[{'name': 'Medium', 'id': 11341, 'property': 'frame_size_id'}, {'name': 'Rectangle', 'id': 11345, 'property': 'frame_shape_id'}, {'name': 'Lenskart Blu', 'id': 23025, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",LKBLUCE,1163,,,False,False,Maroon Full Rim Rectangle Lenskart Blu LB E16219-C2,2000,2000,INR,11341,Medium,11345,Rectangle,23025,Lenskart Blu,11370,Full Rim,,,,,,,,,
3226,145592,Pink,5-8 yrs,120 mm,Hooper Computer Glasses,Hooper Computer Glasses,LKJ E10064CE,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 1500}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 1500}]",False,Zero Power,True,non_power_reading,421,856,4.15,6.0,"[{'name': '5-8 yrs', 'id': 25001, 'property': 'frame_size_id'}, {'name': 'Rectangle', 'id': 11345, 'property': 'frame_shape_id'}, {'name': 'Hooper Computer Glasses', 'id': 24323, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",KIDSCE,17,Digi Hooper,26116.0,True,False,Pink Transparent Full Rim Rectangle Eyeglasses,1500,1500,INR,25001,5-8 yrs,11345,Rectangle,24323,Hooper Computer Glasses,11370,Full Rim,,5-8 yrs,,,,,,,
3233,152411,Pink,8-12 yrs,125 mm,Hooper Computer Glasses,Hooper Computer Glasses,HP D10042L,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 1500}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 1500}]",False,Digi Hooper,True,non_power_reading,0,1692,5.0,2.0,"[{'name': '8-12 yrs', 'id': 25000, 'property': 'frame_size_id'}, {'name': 'Cat Eye', 'id': 11351, 'property': 'frame_shape_id'}, {'name': 'Hooper Computer Glasses', 'id': 24323, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",HOOPERKIDSCE,34,Digi Hooper,26116.0,True,False,Pink Full Rim Cat Eye Eyeglasses,1500,1500,INR,25000,8-12 yrs,11351,Cat Eye,24323,Hooper Computer Glasses,11370,Full Rim,,8-12 yrs,,,,,,,
3242,209941,Black Transparent,Narrow,133 mm,John Jacobs,John Jacobs,JJ E10004,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 6000}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 5000}]",False,John Jacobs,False,non_power_reading,0,35,0.0,,"[{'name': 'Narrow', 'id': 24070, 'property': 'frame_size_id'}, {'name': 'Wayfarer', 'id': 11343, 'property': 'frame_shape_id'}, {'name': 'John Jacobs', 'id': 10738, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",,130,Rich Acetate,26361.0,False,False,Blue Block Phone Computer Glasses: Black Full Rim Wayfarer John Jacobs Rich Acetate JJ E10004-C13,6000,5000,INR,24070,Narrow,11343,Wayfarer,10738,John Jacobs,11370,Full Rim,,,,,,,,,
3243,210071,Grey,Medium,137 mm,Lenskart Blu,Lenskart Blu,LB E13738,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 2000}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 2000}]",False,Zero Power,False,non_power_reading,0,208,0.0,,"[{'name': 'Medium', 'id': 11341, 'property': 'frame_size_id'}, {'name': 'Rectangle', 'id': 11345, 'property': 'frame_shape_id'}, {'name': 'Lenskart Blu', 'id': 23025, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",LKBLUCE,299,,,False,False,Blue Block Screen Glasses: Grey Transparent Grey,2000,2000,INR,11341,Medium,11345,Rectangle,23025,Lenskart Blu,11370,Full Rim,,,,,,,,,
3244,210938,Blue,Narrow,131 mm,Lenskart Blu,Lenskart Blu,LB E16059,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 2000}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 2000}]",False,Zero Power,False,non_power_reading,0,173,0.0,,"[{'name': 'Narrow', 'id': 24070, 'property': 'frame_size_id'}, {'name': 'Geometric', 'id': 24178, 'property': 'frame_shape_id'}, {'name': 'Lenskart Blu', 'id': 23025, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",LKBLUCE,292,,,False,False,Blue Block Screen Glasses: Blue Transparent Full Rim Geometric Lenskart Blu-LB E16059 C1,2000,2000,INR,24070,Narrow,24178,Geometric,23025,Lenskart Blu,11370,Full Rim,,,,,,,,,
3275,210078,Orange,Wide,139 mm,Lenskart Blu,Lenskart Blu,LB E13740,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 1500}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 1500}]",False,Zero Power,False,non_power_reading,0,312,0.0,,"[{'name': 'Wide', 'id': 24069, 'property': 'frame_size_id'}, {'name': 'Wayfarer', 'id': 11343, 'property': 'frame_shape_id'}, {'name': 'Lenskart Blu', 'id': 23025, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",LKBLUCE,212,,,False,False,Orange Full Rim Wayfarer Eyeglasses,1500,1500,INR,24069,Wide,11343,Wayfarer,23025,Lenskart Blu,11370,Full Rim,,,,,,,,,
3276,210936,Brown,Wide,139 mm,Lenskart Blu,Lenskart Blu,LB E16058,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 2000}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 2000}]",False,Zero Power,False,non_power_reading,0,135,0.0,,"[{'name': 'Wide', 'id': 24069, 'property': 'frame_size_id'}, {'name': 'Aviator', 'id': 11348, 'property': 'frame_shape_id'}, {'name': 'Lenskart Blu', 'id': 23025, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",LKBLUCE,347,,,False,False,,2000,2000,INR,24069,Wide,11348,Aviator,23025,Lenskart Blu,11370,Full Rim,,,,,,,,,
3277,211894,Pink,Medium,136 mm,Lenskart Blu,Lenskart Blu,LB E16218,"[{'name': 'Market Price', 'currency_code': 'INR', 'price': 2000}, {'name': 'Lenskart Price', 'currency_code': 'INR', 'price': 2000}]",False,Zero Power,False,non_power_reading,0,46,0.0,,"[{'name': 'Medium', 'id': 11341, 'property': 'frame_size_id'}, {'name': 'Square', 'id': 19404, 'property': 'frame_shape_id'}, {'name': 'Lenskart Blu', 'id': 23025, 'property': 'brandname_id'}, {'name': 'Full Rim', 'id': 11370, 'property': 'frametype_id'}]",LKBLUCE,1145,,,False,False,Pink Full Rim Square Lenskart Blu LB E16218-C2,2000,2000,INR,11341,Medium,19404,Square,23025,Lenskart Blu,11370,Full Rim,,,,,,,,,
